PR_Number,PR_Title,Comment,Sentiment,Score
1863,feat: add submenu with icons to tray menu,"
## 🧪 testing bounty created!

a testing bounty has been created for this PR: [view testing issue](https://github.com/mediar-ai/screenpipe/issues/1864)

testers will be awarded $20 each for providing quality test reports. please check the issue for testing requirements.
",NEGATIVE,0.9955543875694275
1854,fix: server-side request forgery in the `fetchOpenAIModels` ,"
## 🧪 testing bounty created!

a testing bounty has been created for this PR: [view testing issue](https://github.com/mediar-ai/screenpipe/issues/1855)

testers will be awarded $20 each for providing quality test reports. please check the issue for testing requirements.
",NEGATIVE,0.9952823519706726
1854,fix: server-side request forgery in the `fetchOpenAIModels` ,nice,POSITIVE,0.9998552799224854
1854,fix: server-side request forgery in the `fetchOpenAIModels` ,/claim #1855,NEGATIVE,0.6237722635269165
1847,added workflow-analyzer pipe with data fetching and localy tested,"
## 🧪 testing bounty created!

a testing bounty has been created for this PR: [view testing issue](https://github.com/mediar-ai/screenpipe/issues/1848)

testers will be awarded $20 each for providing quality test reports. please check the issue for testing requirements.
",NEGATIVE,0.9951724410057068
1844,Implement screenpipe-mcp with direct sqlite querying,"
## 🧪 testing bounty created!

a testing bounty has been created for this PR: [view testing issue](https://github.com/mediar-ai/screenpipe/issues/1845)

testers will be awarded $20 each for providing quality test reports. please check the issue for testing requirements.
",NEGATIVE,0.9952985644340515
1832,🧪 Testing Bounty: Complete OCR Filtering Verification for Issue #1817,"
## 🧪 testing bounty created!

a testing bounty has been created for this PR: [view testing issue](https://github.com/mediar-ai/screenpipe/issues/1833)

testers will be awarded $20 each for providing quality test reports. please check the issue for testing requirements.
",NEGATIVE,0.9954816102981567
1832,🧪 Testing Bounty: Complete OCR Filtering Verification for Issue #1817,Closing this pull request. This was submitted by an unauthorized and poorly configured experiment on my account without my full oversight. The comments it posted were inappropriate and do not reflect my views. My sincere apologies to the project maintainers for the noise and disruption. I have revoked its access and am securing my account.,NEGATIVE,0.9996501207351685
1828,Update CONTRIBUTING for Tauri setup,"
## 🧪 testing bounty created!

a testing bounty has been created for this PR: [view testing issue](https://github.com/mediar-ai/screenpipe/issues/1829)

testers will be awarded $20 each for providing quality test reports. please check the issue for testing requirements.
",NEGATIVE,0.9955615997314453
1828,Update CONTRIBUTING for Tauri setup,"you dont need a key to build in fact 

key is just used to sign the app for sending updates ",NEGATIVE,0.9961928129196167
1828,Update CONTRIBUTING for Tauri setup,Ohh thanks for sharing. ,POSITIVE,0.9996594190597534
1824,Add ScreenPipe analysis report,"
## 🧪 testing bounty created!

a testing bounty has been created for this PR: [view testing issue](https://github.com/mediar-ai/screenpipe/issues/1825)

testers will be awarded $20 each for providing quality test reports. please check the issue for testing requirements.
",NEGATIVE,0.995344340801239
1820,Complete LinkedIn automation removal,"
## 🧪 testing bounty created!

a testing bounty has been created for this PR: [view testing issue](https://github.com/mediar-ai/screenpipe/issues/1821)

testers will be awarded $20 each for providing quality test reports. please check the issue for testing requirements.
",NEGATIVE,0.995418906211853
1818,Remove LinkedIn automation feature,"
## 🧪 testing bounty created!

a testing bounty has been created for this PR: [view testing issue](https://github.com/mediar-ai/screenpipe/issues/1819)

testers will be awarded $20 each for providing quality test reports. please check the issue for testing requirements.
",NEGATIVE,0.9955741167068481
1812,Update mcp-server.mdx,"
## 🧪 testing bounty created!

a testing bounty has been created for this PR: [view testing issue](https://github.com/mediar-ai/screenpipe/issues/1813)

testers will be awarded $20 each for providing quality test reports. please check the issue for testing requirements.
",NEGATIVE,0.9955340623855591
