PR_Number,PR_Title,Comment,Sentiment,Score
1863,feat: add submenu with icons to tray menu,"
## 🧪 testing bounty created!

a testing bounty has been created for this PR: [view testing issue](https://github.com/mediar-ai/screenpipe/issues/1864)

testers will be awarded $20 each for providing quality test reports. please check the issue for testing requirements.
",positive,0.5013906359672546
1854,fix: server-side request forgery in the `fetchOpenAIModels` ,"
## 🧪 testing bounty created!

a testing bounty has been created for this PR: [view testing issue](https://github.com/mediar-ai/screenpipe/issues/1855)

testers will be awarded $20 each for providing quality test reports. please check the issue for testing requirements.
",positive,0.5058296322822571
1854,fix: server-side request forgery in the `fetchOpenAIModels` ,nice,positive,0.9762179851531982
1854,fix: server-side request forgery in the `fetchOpenAIModels` ,/claim #1855,positive,0.43998920917510986
1847,added workflow-analyzer pipe with data fetching and localy tested,"
## 🧪 testing bounty created!

a testing bounty has been created for this PR: [view testing issue](https://github.com/mediar-ai/screenpipe/issues/1848)

testers will be awarded $20 each for providing quality test reports. please check the issue for testing requirements.
",positive,0.4996778070926666
1844,Implement screenpipe-mcp with direct sqlite querying,"
## 🧪 testing bounty created!

a testing bounty has been created for this PR: [view testing issue](https://github.com/mediar-ai/screenpipe/issues/1845)

testers will be awarded $20 each for providing quality test reports. please check the issue for testing requirements.
",positive,0.49251025915145874
1832,🧪 Testing Bounty: Complete OCR Filtering Verification for Issue #1817,"
## 🧪 testing bounty created!

a testing bounty has been created for this PR: [view testing issue](https://github.com/mediar-ai/screenpipe/issues/1833)

testers will be awarded $20 each for providing quality test reports. please check the issue for testing requirements.
",positive,0.4960765540599823
1832,🧪 Testing Bounty: Complete OCR Filtering Verification for Issue #1817,Closing this pull request. This was submitted by an unauthorized and poorly configured experiment on my account without my full oversight. The comments it posted were inappropriate and do not reflect my views. My sincere apologies to the project maintainers for the noise and disruption. I have revoked its access and am securing my account.,negative,0.7687767148017883
1828,Update CONTRIBUTING for Tauri setup,"
## 🧪 testing bounty created!

a testing bounty has been created for this PR: [view testing issue](https://github.com/mediar-ai/screenpipe/issues/1829)

testers will be awarded $20 each for providing quality test reports. please check the issue for testing requirements.
",positive,0.4936402142047882
1828,Update CONTRIBUTING for Tauri setup,"you dont need a key to build in fact 

key is just used to sign the app for sending updates ",positive,0.41978806257247925
1828,Update CONTRIBUTING for Tauri setup,Ohh thanks for sharing. ,positive,0.9300079941749573
1824,Add ScreenPipe analysis report,"
## 🧪 testing bounty created!

a testing bounty has been created for this PR: [view testing issue](https://github.com/mediar-ai/screenpipe/issues/1825)

testers will be awarded $20 each for providing quality test reports. please check the issue for testing requirements.
",positive,0.4939524531364441
1820,Complete LinkedIn automation removal,"
## 🧪 testing bounty created!

a testing bounty has been created for this PR: [view testing issue](https://github.com/mediar-ai/screenpipe/issues/1821)

testers will be awarded $20 each for providing quality test reports. please check the issue for testing requirements.
",positive,0.49108248949050903
1818,Remove LinkedIn automation feature,"
## 🧪 testing bounty created!

a testing bounty has been created for this PR: [view testing issue](https://github.com/mediar-ai/screenpipe/issues/1819)

testers will be awarded $20 each for providing quality test reports. please check the issue for testing requirements.
",positive,0.5007063150405884
1812,Update mcp-server.mdx,"
## 🧪 testing bounty created!

a testing bounty has been created for this PR: [view testing issue](https://github.com/mediar-ai/screenpipe/issues/1813)

testers will be awarded $20 each for providing quality test reports. please check the issue for testing requirements.
",positive,0.4912070333957672
1808,fix: arbitrary file access during archive extraction zipslip on index,"
## 🧪 testing bounty created!

a testing bounty has been created for this PR: [view testing issue](https://github.com/mediar-ai/screenpipe/issues/1809)

testers will be awarded $20 each for providing quality test reports. please check the issue for testing requirements.
",positive,0.5041154026985168
1808,fix: arbitrary file access during archive extraction zipslip on index,"/bounty 500
/claim #1809 ",positive,0.5152349472045898
