PR_Number,PR_Title,Comment,Sentiment,Score,Model
1863,feat: add submenu with icons to tray menu,"
## 🧪 testing bounty created!

a testing bounty has been created for this PR: [view testing issue](https://github.com/mediar-ai/screenpipe/issues/1864)

testers will be awarded $20 each for providing quality test reports. please check the issue for testing requirements.
",neutral,0.7729519605636597,roberta_cardiff
1854,fix: server-side request forgery in the `fetchOpenAIModels` ,"
## 🧪 testing bounty created!

a testing bounty has been created for this PR: [view testing issue](https://github.com/mediar-ai/screenpipe/issues/1855)

testers will be awarded $20 each for providing quality test reports. please check the issue for testing requirements.
",neutral,0.7713994979858398,roberta_cardiff
1854,fix: server-side request forgery in the `fetchOpenAIModels` ,nice,positive,0.6833009123802185,roberta_cardiff
1854,fix: server-side request forgery in the `fetchOpenAIModels` ,/claim #1855,neutral,0.8546399474143982,roberta_cardiff
1847,added workflow-analyzer pipe with data fetching and localy tested,"
## 🧪 testing bounty created!

a testing bounty has been created for this PR: [view testing issue](https://github.com/mediar-ai/screenpipe/issues/1848)

testers will be awarded $20 each for providing quality test reports. please check the issue for testing requirements.
",neutral,0.7745810747146606,roberta_cardiff
1844,Implement screenpipe-mcp with direct sqlite querying,"
## 🧪 testing bounty created!

a testing bounty has been created for this PR: [view testing issue](https://github.com/mediar-ai/screenpipe/issues/1845)

testers will be awarded $20 each for providing quality test reports. please check the issue for testing requirements.
",neutral,0.7773968577384949,roberta_cardiff
1832,🧪 Testing Bounty: Complete OCR Filtering Verification for Issue #1817,"
## 🧪 testing bounty created!

a testing bounty has been created for this PR: [view testing issue](https://github.com/mediar-ai/screenpipe/issues/1833)

testers will be awarded $20 each for providing quality test reports. please check the issue for testing requirements.
",neutral,0.7750654220581055,roberta_cardiff
1832,🧪 Testing Bounty: Complete OCR Filtering Verification for Issue #1817,Closing this pull request. This was submitted by an unauthorized and poorly configured experiment on my account without my full oversight. The comments it posted were inappropriate and do not reflect my views. My sincere apologies to the project maintainers for the noise and disruption. I have revoked its access and am securing my account.,negative,0.8726624250411987,roberta_cardiff
1828,Update CONTRIBUTING for Tauri setup,"
## 🧪 testing bounty created!

a testing bounty has been created for this PR: [view testing issue](https://github.com/mediar-ai/screenpipe/issues/1829)

testers will be awarded $20 each for providing quality test reports. please check the issue for testing requirements.
",neutral,0.7755167484283447,roberta_cardiff
1828,Update CONTRIBUTING for Tauri setup,"you dont need a key to build in fact 

key is just used to sign the app for sending updates ",neutral,0.8059127330780029,roberta_cardiff
1828,Update CONTRIBUTING for Tauri setup,Ohh thanks for sharing. ,positive,0.9354021549224854,roberta_cardiff
1824,Add ScreenPipe analysis report,"
## 🧪 testing bounty created!

a testing bounty has been created for this PR: [view testing issue](https://github.com/mediar-ai/screenpipe/issues/1825)

testers will be awarded $20 each for providing quality test reports. please check the issue for testing requirements.
",neutral,0.7754827737808228,roberta_cardiff
1820,Complete LinkedIn automation removal,"
## 🧪 testing bounty created!

a testing bounty has been created for this PR: [view testing issue](https://github.com/mediar-ai/screenpipe/issues/1821)

testers will be awarded $20 each for providing quality test reports. please check the issue for testing requirements.
",neutral,0.7705996632575989,roberta_cardiff
1818,Remove LinkedIn automation feature,"
## 🧪 testing bounty created!

a testing bounty has been created for this PR: [view testing issue](https://github.com/mediar-ai/screenpipe/issues/1819)

testers will be awarded $20 each for providing quality test reports. please check the issue for testing requirements.
",neutral,0.7729251384735107,roberta_cardiff
1812,Update mcp-server.mdx,"
## 🧪 testing bounty created!

a testing bounty has been created for this PR: [view testing issue](https://github.com/mediar-ai/screenpipe/issues/1813)

testers will be awarded $20 each for providing quality test reports. please check the issue for testing requirements.
",neutral,0.7700182199478149,roberta_cardiff
1808,fix: arbitrary file access during archive extraction zipslip on index,"
## 🧪 testing bounty created!

a testing bounty has been created for this PR: [view testing issue](https://github.com/mediar-ai/screenpipe/issues/1809)

testers will be awarded $20 each for providing quality test reports. please check the issue for testing requirements.
",neutral,0.7732980847358704,roberta_cardiff
1808,fix: arbitrary file access during archive extraction zipslip on index,"/bounty 500
/claim #1809 ",neutral,0.8651893734931946,roberta_cardiff
1808,fix: arbitrary file access during archive extraction zipslip on index,"## 💎 $10 bounty [• Orange](https://algora.io/orangecurl)
### Steps to solve:
1. **Start working**: Comment `/attempt #1808` with your implementation plan
2. **Submit work**: Create a pull request including `/claim #1808` in the PR body to claim the bounty
3. **Receive payment**: 100% of the bounty is received 2-5 days post-reward. [Make sure you are eligible for payouts](https://algora.io/docs/payments#supported-countries-regions)

### ❗ Important guidelines:
- To claim a bounty, you need to **provide a short demo video** of your changes in your pull request
- If anything is unclear, **ask for clarification** before starting as this will help avoid potential rework
- Low quality AI PRs will not receive review and will be closed
- Do not ask to be assigned unless you've contributed before

Thank you for contributing to mediar-ai/screenpipe!",neutral,0.8240652680397034,roberta_cardiff
1808,fix: arbitrary file access during archive extraction zipslip on index,/claim #1808,neutral,0.8274755477905273,roberta_cardiff
1808,fix: arbitrary file access during archive extraction zipslip on index,/attempt #1808,neutral,0.8410912752151489,roberta_cardiff
1805,rewind desktop app,"
## 🧪 testing bounty created!

a testing bounty has been created for this PR: [view testing issue](https://github.com/mediar-ai/screenpipe/issues/1806)

testers will be awarded $20 each for providing quality test reports. please check the issue for testing requirements.
",neutral,0.774352490901947,roberta_cardiff
1805,rewind desktop app,how can i test it?,neutral,0.9101585149765015,roberta_cardiff
1805,rewind desktop app,issue was happening randomly. the settings were not loaded from file. so it was showing default settings. to test try reloading page or relaunching app again again. if you see the settings in app are reset(don't change anything in settings). check the settings file. settings will still be there,neutral,0.5820268988609314,roberta_cardiff
1805,rewind desktop app,"@louis030195  Will the app be completely standalone, or will it share data with screenpipe-app? For example, if I have both screenpipe-app and rewind-app running on my PC, will the recording, resource and data be shared between them, or will they operate independently?",neutral,0.9290890097618103,roberta_cardiff
1805,rewind desktop app,"Hey, is testing still required? i can help",neutral,0.8379387259483337,roberta_cardiff
1805,rewind desktop app,"> @louis030195 Will the app be completely standalone, or will it share data with screenpipe-app? For example, if I have both screenpipe-app and rewind-app running on my PC, will the recording, resource and data be shared between them, or will they operate independently?

hmm

i think it would make sense to be shared 

tricky part is to check to avoid conflict, having two times the recorder in parallel 

",neutral,0.8878829479217529,roberta_cardiff
1805,rewind desktop app,"> Hey, is testing still required? i can help

later probably yes ",neutral,0.8456661105155945,roberta_cardiff
1805,rewind desktop app,"also wdyt of making this in the same folder than the existing tauri app, but during build time it would enable / disable specific feature in rust side / js side / show different UI?

been considering this path too 

and in CI/cd it would build 2 apps 

one advantage is to keep the same code for rewind and stuff, not sure easier to maintain?

",neutral,0.8407054543495178,roberta_cardiff
1805,rewind desktop app,"it could get more complex and code will be messy since we mixing two apps, also there is risk of breaking one app  while working on another.",negative,0.676486074924469,roberta_cardiff
